timestamp,source,temperature,humidity,air_quality,total_usage_time,fuzzy_level,message
2025-12-12T02:23:09.696934,android_summary,20.34,72.2,0.98,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T02:39:42.768466,android_summary,20.58,73.1,1.02,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T02:55:06.821950,android_summary,20.68,72,1,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T03:10:20.010817,android_summary,20.84,72.1,0.98,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T03:30:20.440193,android_summary,20.98,71.4,1.37,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T03:46:46.247402,android_summary,21.31,71.5,1.08,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T04:43:52.866239,android_summary,22.38,69.6,0.94,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T05:00:59.798671,android_summary,22.59,68.9,1.09,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T05:48:25.764357,android_summary,22.97,66.8,0.96,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T06:03:51.963341,android_summary,23.02,65.9,0.9,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T06:21:15.206956,android_summary,23.57,65,1.28,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T06:38:54.165894,android_summary,23.65,64.4,1.38,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T06:56:43.602157,android_summary,24.04,63.5,1.64,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T07:14:15.055647,android_summary,24.37,61.9,1.6,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T07:31:46.195715,android_summary,24.64,61.9,1.52,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T07:50:12.498458,android_summary,24.78,61.2,1.54,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T08:07:44.715429,android_summary,25.11,60.7,1.75,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T08:25:17.653242,android_summary,25.59,60.3,1.63,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T08:42:48.622394,android_summary,25.61,59.2,1.59,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T09:00:22.823093,android_summary,25.79,57.8,1.55,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T09:17:54.096901,android_summary,25.82,58.3,1.5,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T09:35:27.334276,android_summary,25.96,58.4,1.19,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T09:52:58.700092,android_summary,26.38,58.5,0.99,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T10:08:20.592498,android_summary,26.65,57.4,1.07,21 jam 36 menit 22 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T10:23:21.012782,android_summary,26.46,56.9,1.01,21 jam 46 menit 25 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T10:38:21.339846,android_summary,26.68,56,0.96,21 jam 46 menit 25 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T10:53:21.790525,android_summary,27.05,56.2,1.1,21 jam 52 menit 29 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T11:08:22.374280,android_summary,26.82,56.2,1.14,22 jam 15 menit 48 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T11:23:22.833740,android_summary,27.29,55.9,1.09,22 jam 30 menit 7 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T11:38:23.196002,android_summary,27.05,55.1,0.97,22 jam 44 menit 51 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T11:53:23.570988,android_summary,26.92,55.5,1.48,22 jam 57 menit 6 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T12:08:23.928972,android_summary,26.83,55.9,1.38,23 jam 4 menit 49 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T12:23:24.331862,android_summary,26.59,55.7,1.16,23 jam 24 menit 49 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T12:38:24.710547,android_summary,26.62,55.3,0.99,23 jam 44 menit 49 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T12:53:25.358829,android_summary,26.79,54.8,1.07,23 jam 52 menit 43 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T13:17:22.741946,android_summary,26.54,55.6,1.2,13 jam 57 menit 6 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T13:32:23.121598,android_summary,26.34,56.4,1.01,14 jam 10 menit 31 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T13:47:23.522477,android_summary,26.16,55.8,0.83,14 jam 20 menit 46 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T14:02:23.892959,android_summary,26.38,57,0.85,14 jam 40 menit 46 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T14:17:24.407725,android_summary,26.17,57.4,1.01,14 jam 40 menit 46 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T14:32:24.785209,android_summary,25.82,56.8,0.99,15 jam 0 menit 46 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T14:47:25.133774,android_summary,26.16,56.6,0.96,15 jam 20 menit 46 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T15:02:25.540941,android_summary,25.84,57,0.84,15 jam 40 menit 46 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T15:17:25.992403,android_summary,26.07,57.8,0.86,15 jam 57 menit 50 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T15:32:26.524169,android_summary,25.8,57.8,0.93,16 jam 12 menit 56 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T15:47:26.929478,android_summary,25.65,58.9,0.68,16 jam 21 menit 1 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T16:03:39.569623,android_summary,25.41,59,0.78,16 jam 37 menit 13 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T16:18:39.953405,android_summary,25.04,59.2,0.74,16 jam 52 menit 6 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T16:33:41.294667,android_summary,24.94,60.3,0.84,17 jam 6 menit 50 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T16:48:41.812416,android_summary,24.8,60.3,0.87,17 jam 19 menit 45 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T17:04:01.902773,android_summary,25.05,61,0.91,17 jam 33 menit 5 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T17:19:07.008794,android_summary,24.71,61.9,1.31,17 jam 33 menit 5 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T17:34:30.206403,android_summary,24.34,61.5,1.57,17 jam 33 menit 9 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T17:50:20.895943,android_summary,24.1,62.4,1.68,17 jam 48 menit 26 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T18:05:25.274842,android_summary,24.14,64.5,1.67,17 jam 58 menit 45 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T18:20:26.201724,android_summary,23.53,64.7,2.02,18 jam 16 menit 3 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T19:16:26.683912,android_summary,22.67,66.5,2.01,18 jam 22 menit 17 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T19:31:39.330097,android_summary,22.23,67.8,2,18 jam 22 menit 44 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T19:46:39.769650,android_summary,22.2,67.5,1.88,18 jam 33 menit 36 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T20:02:26.819321,android_summary,22.1,68.4,1.86,18 jam 53 menit 36 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-12T20:17:28.291617,android_summary,21.93,69.1,1.83,18 jam 53 menit 36 detik,Tinggi,Tingkat stres tinggi! Kurangi layar dan istirahat 😣
2025-12-15T12:07:24.666346,android_summary,24.59,62.4,1.39,26 jam 22 menit 59 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T12:22:25.121075,android_summary,25.76,59.7,1.22,26 jam 37 menit 7 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T12:34:57.672405,android_summary,26.52,57.8,1.25,23 jam 2 menit 54 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T12:52:54.509346,android_summary,23.53,63.7,1.0,11 jam 58 menit 10 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T13:07:55.143495,android_summary,24.26,63.0,0.38,12 jam 10 menit 51 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T13:22:55.448464,android_summary,25.48,58.9,0.31,12 jam 10 menit 51 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T13:37:55.757913,android_summary,26.47,57.4,0.31,12 jam 30 menit 51 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T13:52:56.091335,android_summary,26.52,57.0,0.27,12 jam 50 menit 51 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T14:07:56.413094,android_summary,26.52,56.2,0.38,13 jam 10 menit 51 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T14:23:11.329514,android_summary,26.61,56.1,0.34,13 jam 28 menit 59 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T14:39:32.367404,android_summary,26.3,56.6,0.36,14 jam 8 menit 43 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T14:54:56.831668,android_summary,26.2,56.6,0.31,14 jam 18 menit 43 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T15:10:44.313084,android_summary,26.26,56.6,0.29,14 jam 18 menit 43 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T15:25:44.784721,android_summary,26.18,57.2,0.29,14 jam 26 menit 49 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T15:40:45.154947,android_summary,25.99,58.4,0.36,14 jam 46 menit 49 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T15:55:45.545685,android_summary,25.51,59.5,0.3,14 jam 46 menit 49 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T16:10:46.057203,android_summary,25.41,59.6,0.28,15 jam 6 menit 49 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T16:25:46.427931,android_summary,25.05,59.9,0.28,15 jam 26 menit 49 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T16:40:46.749538,android_summary,24.81,60.0,0.29,15 jam 46 menit 21 detik,Tinggi,"Tingkat stres kamu tinggi, Matikan Smartphone dan Pergi Refreshing!"
2025-12-15T16:53:42.331364,android_summary,24.72,60.7,0.29,3 jam 25 menit 17 detik,Rendah,"Tingkat stres kamu rendah, Kondisi kamu aman!"
2025-12-15T17:16:21.143783,android_summary,24.8,63.0,0.46,3 jam 47 menit 56 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T17:31:21.942916,android_summary,24.41,62.9,0.5,4 jam 2 menit 57 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T17:46:22.261489,android_summary,24.23,63.7,0.54,4 jam 17 menit 57 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T18:01:22.586639,android_summary,23.94,64.4,0.53,4 jam 32 menit 57 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T18:16:22.966907,android_summary,23.72,65.2,0.53,4 jam 47 menit 57 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T18:31:23.374558,android_summary,23.27,65.7,0.55,5 jam 2 menit 58 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T18:46:23.655041,android_summary,22.71,65.4,0.53,4 jam 4 menit 30 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T19:01:24.116456,android_summary,22.94,65.9,0.54,4 jam 4 menit 30 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T19:16:24.631037,android_summary,22.61,66.7,0.54,4 jam 8 menit 47 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T19:31:25.082116,android_summary,22.63,68.2,0.56,4 jam 23 menit 47 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T19:46:25.494590,android_summary,22.22,68.9,0.56,4 jam 38 menit 47 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T20:01:25.878105,android_summary,22.12,70.5,0.54,4 jam 52 menit 24 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T20:16:26.532313,android_summary,21.89,70.0,0.6,5 jam 2 menit 35 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T20:31:27.635191,android_summary,21.55,70.7,0.6,5 jam 9 menit 52 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T20:46:28.151842,android_summary,21.12,71.1,0.58,5 jam 24 menit 36 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T21:01:28.583565,android_summary,21.14,72.1,0.56,5 jam 39 menit 36 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T21:16:28.962825,android_summary,20.51,73.0,0.55,5 jam 54 menit 36 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T21:31:29.399535,android_summary,20.4,72.9,0.56,6 jam 9 menit 36 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T21:46:30.379802,android_summary,20.41,73.4,0.54,6 jam 24 menit 37 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
