timestamp_received,package_name,app_name,foreground_time_s
2025-12-12T13:17:22.741946,com.mobile.legends,com.mobile.legends,20397
2025-12-12T13:17:22.741946,com.ss.android.ugc.trill,com.ss.android.ugc.trill,11028
2025-12-12T13:17:22.741946,com.miui.home,System launcher,4528
2025-12-12T13:17:22.741946,com.instagram.android,com.instagram.android,2840
2025-12-12T13:17:22.741946,com.twitter.android,com.twitter.android,2371
2025-12-12T13:17:22.741946,com.facebook.katana,com.facebook.katana,1784
2025-12-12T13:17:22.741946,com.android.chrome,com.android.chrome,1457
2025-12-12T13:17:22.741946,id.co.bri.brimo,id.co.bri.brimo,1202
2025-12-12T13:17:22.741946,com.example.screentimemonitoring,Mentarooms,993
2025-12-12T13:17:22.741946,com.lazada.android,com.lazada.android,866
2025-12-12T13:32:23.121598,com.mobile.legends,com.mobile.legends,20397
2025-12-12T13:32:23.121598,com.ss.android.ugc.trill,com.ss.android.ugc.trill,11028
2025-12-12T13:32:23.121598,com.miui.home,System launcher,4529
2025-12-12T13:32:23.121598,com.instagram.android,com.instagram.android,2840
2025-12-12T13:32:23.121598,com.twitter.android,com.twitter.android,2371
2025-12-12T13:32:23.121598,com.facebook.katana,com.facebook.katana,1784
2025-12-12T13:32:23.121598,com.android.chrome,com.android.chrome,1457
2025-12-12T13:32:23.121598,id.co.bri.brimo,id.co.bri.brimo,1202
2025-12-12T13:32:23.121598,com.example.screentimemonitoring,Mentarooms,993
2025-12-12T13:32:23.121598,com.lazada.android,com.lazada.android,866
2025-12-12T13:47:23.522477,com.mobile.legends,com.mobile.legends,20476
2025-12-12T13:47:23.522477,com.ss.android.ugc.trill,com.ss.android.ugc.trill,11028
2025-12-12T13:47:23.522477,com.miui.home,System launcher,4530
2025-12-12T13:47:23.522477,com.instagram.android,com.instagram.android,2840
2025-12-12T13:47:23.522477,com.twitter.android,com.twitter.android,2371
2025-12-12T13:47:23.522477,com.facebook.katana,com.facebook.katana,1784
2025-12-12T13:47:23.522477,com.android.chrome,com.android.chrome,1457
2025-12-12T13:47:23.522477,id.co.bri.brimo,id.co.bri.brimo,1202
2025-12-12T13:47:23.522477,com.whatsapp,com.whatsapp,1137
2025-12-12T13:47:23.522477,com.example.screentimemonitoring,Mentarooms,993
2025-12-12T14:02:23.892959,com.mobile.legends,com.mobile.legends,21676
