timestamp_received,package_name,app_name,foreground_time_s
2025-12-16T19:37:09.184063,com.mobile.legends,com.mobile.legends,24324
2025-12-16T19:37:09.184063,com.ss.android.ugc.trill,com.ss.android.ugc.trill,10243
2025-12-16T19:37:09.184063,com.example.screentimemonitoring,Mentarooms,5518
2025-12-16T19:37:09.184063,com.whatsapp,com.whatsapp,5084
2025-12-16T19:37:09.184063,com.miui.home,System launcher,4769
2025-12-16T19:37:09.184063,com.google.android.youtube,com.google.android.youtube,4019
2025-12-16T19:37:09.184063,com.instagram.android,com.instagram.android,2279
2025-12-16T19:37:09.184063,com.facebook.katana,com.facebook.katana,1811
2025-12-16T19:37:09.184063,com.android.chrome,com.android.chrome,1756
2025-12-16T19:37:09.184063,com.twitter.android,com.twitter.android,1488
2025-12-16T19:52:09.513325,com.mobile.legends,com.mobile.legends,24324
2025-12-16T19:52:09.513325,com.ss.android.ugc.trill,com.ss.android.ugc.trill,10243
2025-12-16T19:52:09.513325,com.whatsapp,com.whatsapp,5925
2025-12-16T19:52:09.513325,com.example.screentimemonitoring,Mentarooms,5518
2025-12-16T19:52:09.513325,com.miui.home,System launcher,4769
2025-12-16T19:52:09.513325,com.google.android.youtube,com.google.android.youtube,4019
2025-12-16T19:52:09.513325,com.instagram.android,com.instagram.android,2279
2025-12-16T19:52:09.513325,com.facebook.katana,com.facebook.katana,1811
2025-12-16T19:52:09.513325,com.android.chrome,com.android.chrome,1756
2025-12-16T19:52:09.513325,com.twitter.android,com.twitter.android,1488
2025-12-16T20:07:09.879215,com.mobile.legends,com.mobile.legends,24324
2025-12-16T20:07:09.879215,com.ss.android.ugc.trill,com.ss.android.ugc.trill,10243
2025-12-16T20:07:09.879215,com.whatsapp,com.whatsapp,6526
2025-12-16T20:07:09.879215,com.example.screentimemonitoring,Mentarooms,5518
2025-12-16T20:07:09.879215,com.miui.home,System launcher,4769
2025-12-16T20:07:09.879215,com.google.android.youtube,com.google.android.youtube,4019
2025-12-16T20:07:09.879215,com.instagram.android,com.instagram.android,2279
2025-12-16T20:07:09.879215,com.facebook.katana,com.facebook.katana,1811
2025-12-16T20:07:09.879215,com.android.chrome,com.android.chrome,1756
2025-12-16T20:07:09.879215,com.twitter.android,com.twitter.android,1488
2025-12-16T20:22:10.417229,com.mobile.legends,com.mobile.legends,24324
2025-12-16T20:22:10.417229,com.ss.android.ugc.trill,com.ss.android.ugc.trill,10243
2025-12-16T20:22:10.417229,com.whatsapp,com.whatsapp,6533
2025-12-16T20:22:10.417229,com.example.screentimemonitoring,Mentarooms,5518
2025-12-16T20:22:10.417229,com.miui.home,System launcher,4769
2025-12-16T20:22:10.417229,com.google.android.youtube,com.google.android.youtube,4019
2025-12-16T20:22:10.417229,com.instagram.android,com.instagram.android,2279
2025-12-16T20:22:10.417229,com.facebook.katana,com.facebook.katana,1811
2025-12-16T20:22:10.417229,com.android.chrome,com.android.chrome,1756
2025-12-16T20:22:10.417229,com.twitter.android,com.twitter.android,1488
2025-12-16T20:37:10.847854,com.mobile.legends,com.mobile.legends,24324
2025-12-16T20:37:10.847854,com.ss.android.ugc.trill,com.ss.android.ugc.trill,10360
2025-12-16T20:37:10.847854,com.whatsapp,com.whatsapp,6535
2025-12-16T20:37:10.847854,com.example.screentimemonitoring,Mentarooms,5518
2025-12-16T20:37:10.847854,com.miui.home,System launcher,4772
2025-12-16T20:37:10.847854,com.google.android.youtube,com.google.android.youtube,4019
2025-12-16T20:37:10.847854,com.instagram.android,com.instagram.android,2279
2025-12-16T20:37:10.847854,com.facebook.katana,com.facebook.katana,1811
2025-12-16T20:37:10.847854,com.android.chrome,com.android.chrome,1756
2025-12-16T20:37:10.847854,com.twitter.android,com.twitter.android,1488
2025-12-16T20:52:11.280186,com.mobile.legends,com.mobile.legends,24324
2025-12-16T20:52:11.280186,com.ss.android.ugc.trill,com.ss.android.ugc.trill,10363
2025-12-16T20:52:11.280186,com.whatsapp,com.whatsapp,6538
2025-12-16T20:52:11.280186,com.example.screentimemonitoring,Mentarooms,5518
2025-12-16T20:52:11.280186,com.google.android.youtube,com.google.android.youtube,5053
2025-12-16T20:52:11.280186,com.miui.home,System launcher,4776
2025-12-16T20:52:11.280186,com.instagram.android,com.instagram.android,2279
2025-12-16T20:52:11.280186,com.facebook.katana,com.facebook.katana,1811
2025-12-16T20:52:11.280186,com.android.chrome,com.android.chrome,1756
2025-12-16T20:52:11.280186,com.twitter.android,com.twitter.android,1488
2025-12-16T21:07:11.658570,com.mobile.legends,com.mobile.legends,24324
2025-12-16T21:07:11.658570,com.ss.android.ugc.trill,com.ss.android.ugc.trill,10363
2025-12-16T21:07:11.658570,com.whatsapp,com.whatsapp,6538
2025-12-16T21:07:11.658570,com.google.android.youtube,com.google.android.youtube,6007
2025-12-16T21:07:11.658570,com.example.screentimemonitoring,Mentarooms,5518
2025-12-16T21:07:11.658570,com.miui.home,System launcher,4776
2025-12-16T21:07:11.658570,com.instagram.android,com.instagram.android,2279
2025-12-16T21:07:11.658570,com.facebook.katana,com.facebook.katana,1811
2025-12-16T21:07:11.658570,com.android.chrome,com.android.chrome,1756
2025-12-16T21:07:11.658570,com.twitter.android,com.twitter.android,1488
