timestamp,temperature,humidity,air_quality
2025-11-18T00:47:00.289634,29.54,58,40
2025-11-18T00:47:05.295554,25.71,55,57
2025-11-18T00:47:10.306644,27.17,53,53
2025-11-18T00:47:15.312630,26.16,50,33
2025-11-18T00:47:20.319023,28.04,57,43
2025-11-18T00:47:25.325137,25.67,61,74
2025-11-18T00:47:30.335178,25.59,58,73
2025-11-18T00:47:35.346002,25.28,64,34
2025-11-18T00:47:40.355661,25.76,56,62
2025-11-18T00:47:45.365451,29.0,62,68
2025-11-18T00:47:50.371596,25.26,65,31
2025-11-18T00:47:55.380920,26.91,63,46
2025-11-18T00:48:00.387034,28.79,60,34
2025-11-18T00:48:05.394423,28.4,57,76
2025-11-18T00:48:12.178965,29.24,55,78
2025-11-19T21:06:35.591421,29.93,66,56
2025-11-19T21:16:35.613929,29.32,62,56
2025-11-19T21:26:35.620886,28.56,61,34
2025-11-19T21:36:35.629566,25.49,67,50
2025-11-19T21:46:35.635842,27.78,66,66
2025-11-19T21:56:35.642537,25.51,55,66
2025-11-19T22:06:35.659071,29.97,63,63
2025-11-19T22:16:35.666682,26.29,61,32
2025-11-19T22:26:35.675451,28.77,59,67
2025-11-19T22:36:35.684199,25.27,70,79
2025-11-24T18:37:59.226996,27.47,69,70
2025-11-24T19:47:26.176675,26.44,55,41
2025-11-24T19:57:26.194693,26.87,64,42
2025-11-24T20:06:55.358418,29.83,62,78
2025-11-24T20:08:43.992418,28.23,50,68
2025-11-24T20:18:44.004908,29.68,54,41
2025-11-24T20:28:44.014366,26.59,59,34
2025-11-24T20:38:44.025446,28.04,59,49
2025-11-24T20:48:44.034483,25.24,57,62
2025-11-24T20:58:44.048345,29.49,58,51
2025-11-24T21:08:44.059773,29.24,53,35
2025-11-24T21:18:44.075425,25.43,53,77
2025-11-24T21:28:44.089753,26.87,52,37
2025-11-24T21:38:44.107981,27.37,58,41
2025-11-24T21:48:44.124282,28.8,66,64
2025-11-24T21:58:44.147707,29.4,67,52
2025-11-24T22:08:44.158855,27.16,62,48
2025-11-24T22:18:44.169814,25.53,51,64
2025-11-24T22:28:44.188043,26.28,67,38
2025-11-24T22:38:44.207576,29.1,63,47
2025-11-24T22:48:44.226727,25.31,56,48
2025-11-24T22:58:44.245081,26.03,54,32
2025-11-24T23:08:44.259861,28.08,69,74
2025-11-24T23:18:44.279474,26.65,50,49
2025-11-24T23:28:44.288647,25.31,60,63
2025-11-24T23:38:44.321411,27.14,53,56
2025-11-24T23:48:44.334604,25.73,69,71
2025-11-24T23:58:44.355081,26.56,64,79
2025-11-25T00:08:44.369609,28.8,56,35
2025-11-25T00:18:44.389579,26.04,68,78
2025-11-25T00:28:44.406067,28.31,61,38
2025-11-25T00:38:44.417796,26.14,62,62
2025-11-25T00:48:44.431179,26.18,62,78
2025-11-25T00:58:44.449588,25.9,60,39
2025-11-25T01:08:44.492065,29.24,62,69
2025-11-25T01:18:44.507784,26.24,65,34
2025-11-25T01:28:44.537754,25.45,59,61
2025-11-25T01:38:44.549451,26.51,56,33
2025-11-25T01:48:44.562209,27.35,61,61
2025-11-25T01:58:44.605359,27.74,66,63
2025-11-25T02:08:44.622827,25.8,59,62
2025-11-25T02:18:44.631424,26.97,51,39
2025-11-25T02:28:44.637344,25.33,53,32
2025-11-25T02:38:44.660697,26.48,56,62
2025-11-25T02:48:44.682870,29.61,68,53
2025-11-25T02:58:44.702686,28.52,61,76
2025-11-25T03:08:44.712152,27.65,55,58
2025-11-25T03:18:44.728955,27.87,57,43
2025-11-25T03:28:44.754973,26.92,64,45
2025-11-25T03:38:44.769400,25.1,64,60
2025-11-25T03:48:44.779911,26.03,60,33
2025-11-25T03:58:44.805485,27.92,67,68
2025-11-25T04:08:44.825425,25.35,65,45
2025-11-25T04:18:44.836554,27.68,65,75
2025-11-25T04:28:44.858096,25.83,64,54
2025-11-25T04:38:44.870504,29.97,63,73
2025-11-25T04:48:44.883631,25.26,51,31
2025-11-25T04:58:44.892100,26.23,52,61
2025-11-25T05:08:44.912030,27.75,62,53
2025-11-25T05:18:44.929397,28.93,64,73
2025-11-25T05:28:44.941923,27.18,60,75
2025-11-25T05:38:44.954440,28.21,62,41
2025-11-25T05:48:44.974572,26.5,60,70
2025-11-25T05:58:44.988199,26.99,68,70
2025-11-25T06:08:45.007988,25.81,64,70
2025-11-25T06:18:45.024526,26.23,62,40
2025-11-25T06:28:45.036147,26.24,68,34
2025-11-25T06:38:45.053842,26.42,68,68
2025-11-25T06:48:45.064733,27.55,52,45
2025-11-25T06:58:45.077432,29.31,59,50
2025-11-25T07:08:45.094441,28.64,69,45
2025-11-25T07:18:45.103937,28.55,54,57
2025-11-25T07:28:45.122187,27.6,63,56
2025-11-25T07:38:45.132912,25.26,67,63
2025-11-25T07:48:45.151370,29.31,61,44
2025-11-25T07:58:45.160472,25.71,64,75
2025-11-25T08:08:45.172725,27.24,57,30
2025-11-25T08:18:45.188825,27.83,59,30
2025-11-25T08:28:45.203894,27.38,60,75
2025-11-25T08:38:45.224441,29.88,69,71
2025-11-25T08:48:45.235521,27.97,65,35
2025-11-25T08:58:45.253801,27.87,69,38
2025-11-25T09:08:45.263321,28.79,67,61
